x,y,id
1046,-178,Tif1
689,654,Dal81
58,801,SPAC11D3.17
-690,-761,Map1
511,-141,Idh1
-265,1006,Ssa1
-169,-810,Spe1
-496,172,Pap1
-825,126,Rad25
-618,262,Hht2
387,679,Erg5
376,309,Mce1
93,579,Elo2
236,1015,Lsh1
788,-323,Has1
389,-454,Dal2
1161,85,Pdc101
-294,338,Pcr1
-806,-149,Res2
512,190,Ura1
575,-549,Php3
-384,11,Sds3
96,-722,SPAC25B8.11
-898,704,Ost1
201,-189,Prw1
-140,1106,Hsf1
552,995,Rer2
201,474,Ura3
-827,-631,SPAC644.13c
-67,-929,Puf4
907,670,Tif308
206,-548,Moc3
525,389,Prr1
-868,295,Rad24
758,882,Pvg1
-199,651,SPBC106.03
937,453,Cct4
-124,451,Lys4
-587,729,Stt3
672,-789,Adn2
-285,-415,Pst1
625,-287,Fma2
-1028,-411,Nrm1
933,-278,Rpt1
-103,136,Fkh2
-462,907,Ntu1
1132,-60,Aha1
138,6,Pst3
1067,376,Cct3
-1139,-227,Yox1
-1064,245,Pho7
43,357,Cyb502
-462,458,Atf1
489,-699,Ldb1
997,-493,Ncb2
-486,-555,Sar1
-1003,-65,Cdc10
739,451,Cct8
-5,-439,Clr6
806,-657,Php5
-724,855,Ntu2
1135,228,Cct6
748,-473,Php2
-816,-365,Res1
-448,-181,Rxt3
347,-810,Adn3
-600,-385,Mug33
103,1116,Ssa2
-416,-887,SPCC320.08
-754,597,Wbp1
-282,-651,SPCC584.13
-648,406,Htb1
153,-873,Alp14
451,43,Vma8
