Condition	Replicate	Distance_from_nuc_envelope	Radius_of_cell
ntu2D	rep2	0.152	1.1255
ntu2D	rep2	0.152	1.0995
ntu2D	rep2	0.152	1.0915
ntu2D	rep2	0.152	1.0915
ntu2D	rep2	0.108	0.772
ntu2D	rep2	0.152	1.078
ntu2D	rep2	0.152	1.037
ntu2D	rep2	0.152	1.037
ntu2D	rep2	0.216	1.411
ntu2D	rep2	0.216	1.411
ntu2D	rep2	0.216	1.406
ntu2D	rep2	0.216	1.4015
ntu2D	rep2	0.216	1.365
ntu2D	rep2	0.216	1.349
ntu2D	rep2	0.216	1.316
ntu2D	rep2	0.152	0.918
ntu2D	rep2	0.216	1.304
ntu2D	rep2	0.216	1.269
ntu2D	rep2	0.216	1.2585
ntu2D	rep2	0.216	1.2445
ntu2D	rep2	0.216	1.2315
ntu2D	rep2	0.216	1.222
ntu2D	rep2	0.241	1.3575
ntu2D	rep2	0.241	1.348
ntu2D	rep2	0.216	1.186
ntu2D	rep2	0.241	1.316
ntu2D	rep2	0.216	1.1775
ntu2D	rep2	0.241	1.313
ntu2D	rep2	0.241	1.304
ntu2D	rep2	0.216	1.164
ntu2D	rep2	0.216	1.1615
ntu2D	rep2	0.216	1.1525
ntu2D	rep2	0.216	1.1525
ntu2D	rep2	0.216	1.146
ntu2D	rep2	0.216	1.137
ntu2D	rep2	0.216	1.137
ntu2D	rep2	0.216	1.1255
ntu2D	rep2	0.241	1.241
ntu2D	rep2	0.241	1.2315
ntu2D	rep2	0.241	1.2315
ntu2D	rep2	0.241	1.2115
ntu2D	rep2	0.241	1.1875
ntu2D	rep2	0.241	1.1615
ntu2D	rep2	0.216	1.041
ntu2D	rep2	0.216	1.023
ntu2D	rep2	0.241	1.137
ntu2D	rep2	0.241	1.1335
ntu2D	rep2	0.241	1.1255
ntu2D	rep2	0.216	1.003
ntu2D	rep2	0.241	1.1115
ntu2D	rep2	0.241	1.085
ntu2D	rep2	0.216	0.972
ntu2D	rep2	0.241	1.0835
ntu2D	rep2	0.305	1.365
ntu2D	rep2	0.241	1.078
ntu2D	rep2	0.241	1.07
ntu2D	rep2	0.241	1.059
ntu2D	rep2	0.241	1.03
ntu2D	rep2	0.241	1.017
ntu2D	rep2	0.241	0.991
ntu2D	rep2	0.241	0.984
ntu2D	rep2	0.241	0.984
ntu2D	rep2	0.323	1.313
ntu2D	rep2	0.241	0.972
ntu2D	rep2	0.323	1.2815
ntu2D	rep2	0.241	0.9275
ntu2D	rep2	0.323	1.2115
ntu2D	rep2	0.445	1.6495
ntu2D	rep2	0.323	1.197
ntu2D	rep2	0.241	0.884
ntu2D	rep2	0.341	1.22
ntu2D	rep2	0.341	1.2055
ntu2D	rep2	0.323	1.137
ntu2D	rep2	0.323	1.1255
ntu2D	rep2	0.323	1.1115
ntu2D	rep2	0.305	1.041
ntu2D	rep2	0.341	1.146
ntu2D	rep2	0.305	1.017
ntu2D	rep2	0.457	1.4835
ntu2D	rep2	0.305	0.9895
ntu2D	rep2	0.341	1.106
ntu2D	rep2	0.323	1.047
ntu2D	rep2	0.341	1.074
ntu2D	rep2	0.445	1.364
ntu2D	rep2	0.445	1.352
ntu2D	rep2	0.389	1.1775
ntu2D	rep2	0.389	1.1775
ntu2D	rep2	0.341	1.023
ntu2D	rep2	0.482	1.4385
ntu2D	rep2	0.389	1.1435
ntu2D	rep2	0.389	1.1425
ntu2D	rep2	0.389	1.1335
ntu2D	rep2	0.389	1.122
ntu2D	rep2	0.323	0.918
ntu2D	rep2	0.431	1.1525
ntu2D	rep2	0.457	1.2115
ntu2D	rep2	0.457	1.1935
ntu2D	rep2	0.389	1.013
ntu2D	rep2	0.389	1.013
ntu2D	rep2	0.431	1.0915
ntu2D	rep2	0.682	1.7225
ntu2D	rep2	0.539	1.339
ntu2D	rep2	0.55	1.352
ntu2D	rep2	0.431	1.047
ntu2D	rep2	0.389	0.9415
ntu2D	rep2	0.431	1.037
ntu2D	rep2	0.482	1.1535
ntu2D	rep2	0.431	1.0255
ntu2D	rep2	0.457	1.078
ntu2D	rep2	0.629	1.4595
ntu2D	rep2	0.445	1.0245
ntu2D	rep2	0.629	1.4355
ntu2D	rep2	0.539	1.222
ntu2D	rep2	0.389	0.8775
ntu2D	rep2	0.431	0.972
ntu2D	rep2	0.445	1.003
ntu2D	rep2	0.539	1.197
ntu2D	rep2	0.482	1.0635
ntu2D	rep2	0.539	1.164
ntu2D	rep2	0.61	1.286
ntu2D	rep2	0.629	1.316
ntu2D	rep2	0.539	1.1115
ntu2D	rep2	0.539	1.0795
ntu2D	rep2	0.55	1.0915
ntu2D	rep2	0.762	1.491
ntu2D	rep2	0.69	1.316
ntu2D	rep2	0.55	1.023
ntu2D	rep2	0.539	0.991
ntu2D	rep2	0.647	1.137
ntu2D	rep2	0.889	1.5105
ntu2D	rep2	0.55	0.915
ntu2D	rep2	0.762	1.263
ntu2D	rep2	0.755	1.2505
ntu2D	rep2	0.682	1.0795
ntu2D	rep2	0.762	1.197
ntu2D	rep2	0.69	1.0835
ntu2D	rep2	0.61	0.954
ntu2D	rep2	0.682	1.059
ntu2D	rep2	0.682	1.017
ntu2D	rep2	0.842	1.24
ntu2D	rep2	0.682	0.9895
ntu2D	rep2	0.69	0.994
ntu2D	rep2	0.723	1.041
ntu2D	rep2	0.69	0.972
ntu2D	rep2	0.723	1.003
ntu2D	rep2	0.842	1.1665
