bait,prey,adj.P.Val,logFC
Ace2,Taf9,0.00517916769329811,1.83217585078249
Ace2,Taf12,0.000930078902355973,2.85422260380908
Ace2,Yaf9,4.42162337584515e-13,4.84733995609927
Ace2,Gcn5,0.00011551783597042,2.4568348982575
Ace2,Tra2,0.00000517409949731557,6.05058611535347
Ace2,Bbc1,0.0381535547492025,1.84654752998156
Ace2,Pda1,0.022252776404576,1.92767063472627
Ace2,Png1,4.42162337584515e-13,5.88687042917249
Ace2,Spt20,0.0000022957494516707,3.24943788069857
Ace2,Cmb1,0.0424402720920592,1.24181178927009
Ace2,Mst1,0.00000000135018721935699,4.36241914278243
Ace2,Eaf6,0.0307049709546835,2.1812711290875
Ace2,Idp1,0.0136998103844463,2.4809421183567
Ace2,Swc4,4.72813221131135e-11,5.54758238340359
Ace2,Eaf7,0.0000000552000253451075,3.36298497988715
Ace2,Bdc1,0.00000403210693230896,4.02681860911455
Ace2,Taf10,0.0000686779369731589,2.74507145498408
Ace2,Ngg1,0.000010373497756609,2.79357921072416
Ace2,Pdb1,0.0136998103844463,2.72101157685648
Ace2,Sre2,0.0460732503578947,2.45025353361425
Ace2,Tra1,0.0000000161551442981247,3.58565743504482
Ace2,Alp5,0.000376310928985177,1.8111323831166
Ace2,Bio2,0.0478575921579044,2.18324072567071
Ace2,Taf6,0.000243719663102831,3.06025375068841
Ace2,Vid21,4.72813221131135e-11,5.7568622202162
Ace2,Taf5,0.000926760529081557,2.5846135520113
Ace2,Lat1,0.00320623988339247,4.33484208048202
Ace2,Epl1,4.72813221131135e-11,5.54304840883551
Cdc10,Res2,0.00000366399858440936,7.91689728459603
Cdc10,Nrm1,0.00000946509766605625,6.94004031760515
Cdc10,Rps21,0.0326429405100229,1.34790006079208
Cdc10,Yox1,0.00000946509766605625,7.60621785213081
Cdc10,Res1,0.00000386839850693714,9.29288038220861
Cuf1,Rxt3,0.0354104400919854,1.98277322002528
Deb1,Reb1,0.000252135281499103,4.19082256928167
Deb1,Irc3,0.000164538748639002,5.54041874758011
Deb1,Smd3,0.0106558868714452,2.25348946718249
Deb1,Lsm1,0.0363322091760851,2.60668519817673
Deb1,Mcm2,0.0197895685363527,3.55729681358672
Deb1,Rpl1601,0.000608466473712527,5.71368010375793
Deb1,Rpl1902,0.00657860591122291,3.50467135528284
Esc1,Rpl29,0.0014598662282755,4.47253900428816
Esc1,Rpl1601,0.00100438264557978,6.00676073322538
Fep1,Grx4,0.000116942750335,3.45922925379318
Fep1,Rpl29,0.00686784464436988,4.058993924752
Fep1,Rpl1902,0.00686784464436988,3.78993258050823
Fhl1,Rpl3202,0.0468278043293311,4.08993864803937
Fhl1,Lsb4,0.0127281511481597,2.12716367737189
Fhl1,Rps401,0.00298704001225979,6.29531904661707
Fhl1,Rpl29,0.0127281511481597,3.88702525198526
Fhl1,Rpl1601,0.000986352905480365,6.01048602508406
Fhl1,Rpl1902,0.0134461782111452,3.56521838580574
Fhl1,Cbc3,0.00298704001225979,2.74790190613373
Fil1,Rpl29,0.00152240071287312,4.54065524311712
Fil1,Rpl1601,0.00359270514394328,5.59242901933181
Fkh2,Erg11,0.00522658458207682,2.54287197455311
Fkh2,Vtc2,0.00316851687984102,1.9444504915413
Fkh2,Laf1,2.78476694858837e-21,6.36557324687307
Fkh2,Atp1,0.000101638592728041,3.03642121078419
Fkh2,Png3,9.29058381704994e-16,4.66310771543436
Fkh2,Nhp2,0.00000160971944453225,2.63016536515177
Fkh2,Gus1,0.00337483458503899,3.4106422248504
Fkh2,Slt1,0.0000028156198889721,2.91174814561621
Fkh2,Pdi2,0.000156097566701726,2.33516344421691
Fkh2,Erg5,0.0219314166990069,1.48192779302513
Fkh2,Has1,0.0196681080652736,2.25528333901537
Fkh2,Atp2,0.0081207311538539,2.76308063266978
Fkh2,Lys3,0.000156097566701726,4.26033033319591
Fkh2,Tef103,0.017371821994065,1.75999905080447
Fkh2,Cdb4,0.000000628645567755826,2.96991119069625
Fkh2,Sds3,4.47263574124252e-24,7.89716600126916
Fkh2,Lrs1,4.65840386592565e-13,6.31207007863892
Fkh2,Tif51,0.000142083170177547,3.35159196017265
Fkh2,Ani2,0.0348102902282319,1.89795743952673
Fkh2,SPAC29A4.02c,0.00319662007726557,5.79391804917974
Fkh2,Prw1,5.05195517937504e-12,7.31596910858911
Fkh2,Tif5,0.043015904456528,2.6097552576378
Fkh2,Abc4,0.0399212298229028,1.74985461371574
Fkh2,Asc1,0.0219314166990069,3.06081866322948
Fkh2,Tif212,0.0267234858431408,2.74838513205476
Fkh2,Elf1,0.000000210457878404114,3.42921376455256
Fkh2,Grs1,0.000000000555454851471354,3.64883041487394
Fkh2,Sum1,0.0137334192177176,1.57340404439781
Fkh2,Pyk1,0.0162196588344219,2.13858239083634
Fkh2,Eft202,0.00195806557260063,2.99751089197389
Fkh2,Tif52,0.000233038413107202,3.15814518151651
Fkh2,Mug165,7.6365912376192e-15,4.4145036180764
Fkh2,SPAC694.02,0.000719454639202596,3.0085171359988
Fkh2,Tom70,0.0382734123506033,2.58065237654677
Fkh2,Tom20,0.0158357437171886,1.96148723189395
